countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value
AFG,Afghanistan,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,120.82
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,0.297
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2010,35.768
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,0.891
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,9.181
AFG,Afghanistan,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,6.959
AFG,Afghanistan,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,11.298
AFG,Afghanistan,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.684
AFG,Afghanistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.707
AFG,Afghanistan,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,944.204
AFG,Afghanistan,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,3047.654
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,2006.789
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.449
AFG,Afghanistan,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.353
AFG,Afghanistan,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.517
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2010,0.287
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2010,44.823
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2010,28.638
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,33.842
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,60.851
AFG,Afghanistan,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,62.408
AFG,Afghanistan,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,59.278
AFG,Afghanistan,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,29.9
AFG,Afghanistan,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,79.55
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2010,36.08
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2010,1.851
